FieldID,FieldID,Treatment,Crop,AGASER,AGASPL,AGATEX,AGAVIR,ANDSP,ANTWAL,APIMEL,AUGPUR,AUGAUR,AUGFUL,AUGMET,BOMAUR,BOMBIM,BOMFER,BOMGRI,BOMIMP,BOMPEN,BOMVAG,CERCAL,CERCOC,CERDUP,CERMIK,CERSTR,COEMEX,COLALB,EUCHAM,EUCROS,HALCON,HALLIG,HALPAR,HALRUB,HALTRI,HERVAR,HYLMOD,LASDIA,MEGADD,MEGBRE,MEGCEN,MEGDEF,MEGGEO,MEGINE,MEGMEN,MEGMON,MEGPET,MEGREL,MELAGI,MELBIM,MELCOM,MELCMP,MELDEN,MELTEP,MELTRI,MELTAU,NOMCRE,NOMSP,OSMBUC,OSMGEO,OSMSIM,PROSP,PTIBOM,SVAOBL,TRICON,TRIDIS,TRIHEL,TRILUN,TRISP,XENKAN,XYLVIR
ATT1,AT,treated,soybeans,0,0,0,1,0,0,19,2,0,0,0,4,0,0,4,0,8,0,0,0,0,0,0,0,1,5,0,2,1,0,4,0,0,1,42,0,0,0,0,0,0,0,0,0,0,1,2,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ATT2,AT,treated,soybeans,0,0,0,1,0,0,4,30,4,1,9,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,3,0,4,1,0,2,1,0,17,0,0,1,0,0,0,0,0,0,0,1,8,0,5,1,8,6,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
ATT3,AT,treated,soybeans,0,0,0,1,0,0,2,6,0,2,5,3,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,4,18,0,0,0,6,1,0,0,0,0,0,0,0,0,0,6,4,0,0,2,1,2,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,2
ATT4,AT,treated,soybeans,0,0,0,0,0,1,16,7,1,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,0,14,1,0,0,0,0,0,0,0,0,1,5,4,3,2,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2
ATUT1,AT,untreated,oldfield,0,0,0,10,0,0,2,4,0,2,1,4,0,1,1,0,4,0,1,0,0,1,0,0,0,1,0,0,4,5,4,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ATUT2,AT,untreated,oldfield,0,0,0,3,0,0,14,4,0,1,1,1,1,0,6,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FGT1,FG,treated,corn,0,5,8,1,0,0,5,2,0,0,0,3,0,0,0,0,3,0,0,0,1,2,0,0,0,28,0,0,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,1,5,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5
FGT2,FG,treated,corn,0,0,0,1,0,0,3,0,0,0,0,2,0,0,2,1,3,0,0,0,0,2,0,0,0,9,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
FGT3,FG,treated,corn,0,0,0,0,2,0,16,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGT4,FG,treated,corn,0,0,0,0,0,0,2,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,19,3,6,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FGUT1,FG,untreated,grassland,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FGUT2,FG,untreated,oldfield,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT1,IH,treated,corn,0,0,0,1,0,0,7,0,0,1,2,2,3,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,4,0,2,1,0,0,8,0,0,0,0,0,0,2,0,0,0,0,9,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT2,IH,treated,corn,0,0,0,1,0,0,29,3,0,1,0,2,0,0,3,0,2,0,0,0,0,4,0,0,0,9,0,1,8,0,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,1,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT3,IH,treated,corn,0,0,0,2,0,0,1,4,0,2,6,3,0,0,0,1,0,0,0,0,0,3,0,0,0,18,0,0,3,1,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,11,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT4,IH,untreated,sunflowers,0,0,0,0,0,0,4,0,0,0,1,3,1,0,2,2,1,0,0,0,0,4,0,0,0,7,0,0,6,1,1,0,0,1,12,1,0,0,0,0,0,1,0,0,0,0,1,4,8,6,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
IHUT1,IH,untreated,hayfield,0,0,0,7,0,0,10,2,0,1,0,9,1,0,1,0,5,0,0,0,0,1,0,0,0,17,0,0,0,7,11,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHUT2,IH,untreated,hayfield,0,0,0,0,0,0,4,2,0,1,5,0,0,0,1,1,1,0,0,0,0,2,0,0,0,8,0,1,6,36,18,1,0,3,22,0,0,0,0,0,0,2,0,0,0,0,2,1,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCT1,WC,treated,corn,0,0,0,1,0,0,5,120,0,0,0,9,3,0,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,3
WCT2,WC,treated,corn,0,0,2,0,0,0,2,20,0,1,1,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,0,7,0,2,1,1,0,0,0,0,0,1,0,0,4,1,0,0,0,1,0,0,0
WCT3,WC,treated,corn,1,0,0,1,0,0,9,14,0,3,0,10,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11
WCT4,WC,treated,milo,0,0,1,0,0,0,1,0,0,0,0,4,2,0,1,0,0,0,0,0,0,8,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2
WCUT1,WC,untreated,oldfield,0,0,0,1,0,0,4,2,0,3,2,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,10,18,0,0,0,0,0,0,0,0,2,0,0,13,7,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WCUT2,WC,untreated,oldfield,0,0,0,0,0,0,1,3,0,0,0,5,12,0,9,3,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,2,5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
