FieldID,Treatment,Crop,FieldArea,MargArea,AvgMgWidth,CtoMEdge,DistNearTr,Jdate,DaysSinceP,PercMgMow,AvgFlCover,NumSpBloom,CollectTime,Temp,Humidity,WindSpd,AGASER,AGASPL,AGATEX,AGAVIR,ANDSP,ANTWAL,AUGPUR,AUGAUR,AUGFUL,AUGMET,BOMAUR,BOMBIM,BOMFER,BOMGRI,BOMIMP,BOMPEN,BOMVAG,CERCAL,CERCOC,CERDUP,CERMIK,CERSTR,COEMEX,COLALB,EUCHAM,EUCROS,HALCON,HALLIG,HALPAR,HALRUB,HALTRI,HERVAR,HYLMOD,LASDIA,MEGADD,MEGBRE,MEGCEN,MEGDEF,MEGGEO,MEGINE,MEGMEN,MEGMON,MEGPET,MEGREL,MELAGI,MELBIM,MELCOM,MELCMP,MELDEN,MELTEP,MELTRI,MELTAU,NOMCRE,NOMSP,OSMBUC,OSMGEO,OSMSIM,PROSP,PTIBOM,SVAOBL,TRICON,TRIDIS,TRIHEL,TRILUN,TRISP,XENKAN,XYLVIR
ATT1,treated,soybeans,0.34,0.42,10,0.7,200,174,14,0,53,4,12:00,31.8,61,11.3,0,0,0,1,0,0,2,0,1,0,3,0,0,3,0,5,0,0,0,0,0,0,0,1,5,0,2,1,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ATT2,treated,soybeans,1.78,0.29,7.2,1.2,616,174,14,0,52,6,11:00,30.6,61.4,4.7,0,0,0,1,0,0,23,2,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,0,0,0,1,0,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATT3,treated,soybeans,0.73,0.62,15,0,142,174,14,0,72,7,9:00,28.5,67.7,8,0,0,0,1,0,0,3,0,2,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,2,5,2,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ATT4,treated,soybeans,0.77,0.31,20,0,142,174,14,0,47,4,9:55,29.2,65.5,9.3,0,0,0,0,0,0,2,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,4,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUT1,untreated,oldfield,2,0.82,40,0,657,174,0,0,60,7,14:00,32.8,58.2,14.1,0,0,0,10,0,0,1,0,2,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,3,2,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATUT2,untreated,oldfield,0.14,0.13,10.5,0,174,174,0,0,75,8,12:40,32,62.5,21.3,0,0,0,0,0,0,1,0,1,0,1,1,0,4,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FGT1,treated,corn,1.01,0.21,7.5,0.8,387,158,30,0,59,3,18:16,27,39,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,28,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
FGT2,treated,corn,2.59,0.56,22.9,0.6,617,158,30,0,45,6,19:00,27.2,37.4,2.3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FGT3,treated,corn,3.24,0.09,10.3,1.1,503,158,30,0,62,5,14:54,29,35,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGT4,treated,corn,2.23,0.06,3.4,4.5,327,158,30,80,33,3,16:49,28.6,40,1.9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGUT1,untreated,oldfield,2.3,0.25,24,0,937,158,0,0,45,5,16:00,28,37.2,2.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGUT2,untreated,oldfield,1.08,0.05,3.8,0,484,158,0,0,47,2,17:16,29.8,38.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT1,treated,corn,1.17,0.74,55,1.2,217,161,28,0,63,5,12:44,29.5,43.8,3.9,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT2,treated,corn,0.89,1.35,41.5,1.2,217,161,28,0,42,2,13:31,29.5,39.8,2.3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0,1,6,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT3,treated,corn,1.76,0.42,7.3,0,78,161,28,0,35,4,15:50,30.5,38.9,1.7,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT4,untreated,sunflowers,2.91,0.31,5.2,0,376,161,28,0,48,3,14:23,29.7,36.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,7,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IHUT1,untreated,hayfield,5,0.21,8.3,0,586,161,0,0,67,3,16:44,31.2,37.3,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHUT2,untreated,hayfield,5.43,0.63,9,0,164,161,0,0,30,3,15:03,31.1,43.8,1.2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,1,1,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCT1,treated,corn,1.62,0.74,26,0.5,1105,173,15,0,52,2,11:20,*,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCT2,treated,corn,2.02,0.19,5,0.5,332,173,15,0,33,2,10:55,33.3,42.4,6.9,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
WCT3,treated,corn,1.21,0.34,11.9,0,133,173,15,0,25,2,9:55,25.4,59.1,4.5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
WCT4,treated,corn,1.21,0.16,10.7,0.5,490,173,15,0,35,2,8:21,23.4,69,2.5,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
WCUT1,untreated,oldfield,1.62,0.31,11.4,0,772,173,0,0,28,2,10:16,27.2,53.5,0.6,0,0,0,0,0,0,1,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WCUT2,untreated,oldfield,1.21,0.21,9.2,0,704,173,0,0,22,2,9:00,24.7,63.8,2.5,0,0,0,0,0,0,0,0,0,0,3,12,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ATT1,treated,soybeans,0.34,0.42,10,0.7,200,200,40,0,57,8,10:31,27.8,66.1,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATT2,treated,soybeans,1.78,0.29,7.2,1.2,616,200,40,0,38,5,9:26,26.2,69.2,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ATT3,treated,soybeans,0.73,0.62,15,0,142,200,40,0,42,5,7:05,22.3,90.6,0.2,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,4,9,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2
ATT4,treated,soybeans,0.77,0.31,20,0,142,200,40,0,28,3,8:16,25,73.4,0.8,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,3,2,2,5,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
ATUT1,untreated,oldfield,2,0.82,40,0,657,200,0,20,52,6,12:26,26.9,66.5,2.8,0,0,0,0,0,0,3,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,2,2,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
ATUT2,untreated,oldfield,0.14,0.13,10.5,0,174,200,0,0,73,8,11:20,26.6,69.2,4.5,0,0,0,1,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGT1,treated,corn,1.01,0.21,7.5,0.8,387,212,84,0,30,7,7:29,24.5,81.9,17.2,0,4,8,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27,0,1,5,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1
FGT2,treated,corn,2.59,0.56,22.9,0.6,617,212,84,0,33,3,8:16,23.7,75,11.9,0,0,0,1,0,0,2,0,0,0,1,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1
FGT3,treated,corn,3.24,0.09,10.3,1.1,503,212,84,0,63,8,9:49,25.7,70.4,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FGT4,treated,corn,2.23,0.06,3.4,4.5,327,212,84,85,15,3,9:00,35.2,70,7.7,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,19,3,6,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FGUT1,untreated,oldfield,2.3,0.25,24,0,937,212,0,0,58,7,11:00,25.1,73,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
FGUT2,untreated,oldfield,1.08,0.05,3.8,0,484,212,0,35,27,4,11:55,27.7,66.7,3.1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT1,treated,corn,1.17,0.74,55,1.2,217,191,58,0,70,5,13:24,33.7,60.7,0,0,0,0,0,0,0,0,0,1,2,1,3,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,2,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,9,1,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT2,treated,corn,0.89,1.35,41.5,1.2,217,191,58,0,40,6,12:29,31.5,62.9,4.3,0,0,0,1,0,0,3,0,0,0,1,0,0,3,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT3,treated,corn,1.76,0.42,7.3,0,78,191,58,0,60,6,8:50,25.7,72.2,6.3,0,0,0,0,0,0,4,0,1,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,12,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,11,4,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHT4,untreated,sunflowers,2.91,0.31,5.2,0,376,191,58,50,47,5,11:26,28,70.5,3,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,3,1,1,0,0,1,12,0,0,0,0,0,0,1,0,0,0,0,1,4,8,6,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
IHUT1,untreated,hayfield,5,0.21,8.3,0,586,191,58,100,0,0,8:32,24,75.5,7.2,0,0,0,4,0,0,2,0,1,0,7,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,10,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IHUT2,untreated,hayfield,5.43,0.63,9,0,164,191,58,0,35,3,10:06,26.7,70.2,4.7,0,0,0,0,0,0,2,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,34,18,0,0,0,18,0,0,0,0,0,0,2,0,0,0,0,2,1,4,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WCT1,treated,corn,1.62,0.74,26,0.5,1105,202,44,0,48,5,12:00,35.8,53.4,0.2,0,0,2,1,0,0,120,0,0,0,9,1,0,4,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,0,0,0,0,0,1,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3
WCT2,treated,corn,2.02,0.19,5,0.5,332,202,44,0,57,6,11:00,30.5,66.1,1.5,0,0,0,0,0,0,20,0,0,1,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,0,0,7,0,2,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
WCT3,treated,corn,1.21,0.34,11.9,0,133,202,44,0,42,5,8:54,27.4,75,0,1,0,0,1,0,0,14,0,0,0,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10
WCT4,treated,corn,1.21,0.16,10.7,0.5,490,202,44,0,35,5,6:48,21,87.9,0.4,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WCUT1,untreated,oldfield,1.62,0.31,11.4,0,772,202,0,60,27,7,10:00,28.7,71.4,2.5,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,13,7,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
WCUT2,untreated,oldfield,1.21,0.21,9.2,0,704,202,0,85,33,6,7:55,25.9,74.5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,1,2,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
